keywords,time,resolution,geo_name,geo_code,value
korean skincare||skincare,today 12-m,DMA,Macon GA,503,4|96
korean skincare||skincare,today 12-m,DMA,Butte-Bozeman MT,754,3|97
korean skincare||skincare,today 12-m,DMA,Shreveport LA,612,4|96
korean skincare||skincare,today 12-m,DMA,Rockford IL,610,5|95
korean skincare||skincare,today 12-m,DMA,La Crosse-Eau Claire WI,702,5|95
korean skincare||skincare,today 12-m,DMA,Wilkes Barre-Scranton PA,577,5|95
korean skincare||skincare,today 12-m,DMA,Youngstown OH,536,5|95
korean skincare||skincare,today 12-m,DMA,Flint-Saginaw-Bay City MI,513,5|95
korean skincare||skincare,today 12-m,DMA,Toledo OH,547,4|96
korean skincare||skincare,today 12-m,DMA,Traverse City-Cadillac MI,540,5|95
korean skincare||skincare,today 12-m,DMA,Columbus GA,522,4|96
korean skincare||skincare,today 12-m,DMA,Topeka KS,605,5|95
korean skincare||skincare,today 12-m,DMA,Duluth MN-Superior WI,676,4|96
korean skincare||skincare,today 12-m,DMA,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,4|96
korean skincare||skincare,today 12-m,DMA,Davenport IA-Rock Island-Moline IL,682,5|95
korean skincare||skincare,today 12-m,DMA,Green Bay-Appleton WI,658,4|96
korean skincare||skincare,today 12-m,DMA,Utica NY,526,4|96
korean skincare||skincare,today 12-m,DMA,Albany GA,525,3|97
korean skincare||skincare,today 12-m,DMA,Springfield MO,619,4|96
korean skincare||skincare,today 12-m,DMA,Evansville IN,649,4|96
korean skincare||skincare,today 12-m,DMA,Wausau-Rhinelander WI,705,4|96
korean skincare||skincare,today 12-m,DMA,Sioux Falls(Mitchell) SD,725,3|97
korean skincare||skincare,today 12-m,DMA,Terre Haute IN,581,4|96
korean skincare||skincare,today 12-m,DMA,Joplin MO-Pittsburg KS,603,4|96
korean skincare||skincare,today 12-m,DMA,Erie PA,516,4|96
korean skincare||skincare,today 12-m,DMA,Abilene-Sweetwater TX,662,3|97
korean skincare||skincare,today 12-m,DMA,Bangor ME,537,3|97
korean skincare||skincare,today 12-m,DMA,Sioux City IA,624,3|97
korean skincare||skincare,today 12-m,DMA,North Platte NE,740,0|100
korean skincare||skincare,today 12-m,DMA,Glendive MT,798,0|100
korean skincare||skincare,today 12-m,DMA,Alpena MI,583,0|100
korean skincare||skincare,today 12-m,DMA,Zanesville OH,596,0|100
