dma_code,dma_name,geo_code,nielsen_name,n_counties,total_pop,pct_hisp,pct_white_nh,pct_black_nh,pct_asian_nh
819,Seattle-Tacoma WA,US-WA-819,SEATTLE-TACOMA,17,5700406,12.45,60.9,5.33,14.35
820,Portland OR,US-OR-820,"PORTLAND, OR",28,3554454,16.0,69.54,2.65,6.42
821,Bend OR,US-OR-821,"BEND, OR",1,211535,9.89,84.44,0.54,1.48
825,San Diego CA,US-CA-825,SAN DIEGO,1,3298799,35.25,42.41,4.64,13.09
828,Monterey-Salinas CA,US-CA-828,MONTEREY-SALINAS,3,767816,53.57,36.12,1.7,5.42
839,Las Vegas NV,US-NV-839,LAS VEGAS,3,2459206,32.4,38.33,12.38,11.34
855,Santa Barbara-Santa Maria-San Luis Obispo CA,US-CA-855,SANTA BARBARA-SAN MAR-SAN LUIS OBISPO,2,726343,40.19,49.97,1.54,5.08
862,Sacramento-Stockton-Modesto CA,US-CA-862,SACRAMENTO-STOCKTON-MODESTO,16,4765962,30.67,42.42,6.48,14.62
866,Fresno-Visalia CA,US-CA-866,FRESNO-VISALIA,6,2141838,59.93,25.94,3.59,7.84
868,Chico-Redding CA,US-CA-868,CHICO-REDDING,6,506343,20.16,68.33,1.36,4.08
881,Spokane WA,US-WA-881,SPOKANE,24,1313193,11.06,79.89,1.38,2.03
